X_animacy,X,polarity,center,normalized,aspect,tense,number,Y,Y_POS,Y_number,Y_animacy,Y_case,Meaning,semi_neg,Full context,Created,Title,Sphere,Medium
anim,он,pos,осилил,осилить,perf,past,sing,ее,NPRO,sing,inan,accs,3,,"Когда он осилил ее, Петр Степанович уже расплатился и уходил",1871,Ф. М. Достоевский. Бесы (1871-1872),,
inan,партия,pos,осиливала,осиливать,impf,past,sing,сотню верст,NOUN,sing,inan,accs,2.1,,"На этот раз кандальная партия осиливала последнюю сотню верст из долгого и тяжелого, семитысячного и годового пути своего",1871,С. В. Максимов. Сибирь и каторга (1871),публицистика | нехудожественная,книга
anim,[мы],pos,осиливаем,осиливать,impf,pres,plur,лестницу,NOUN,sing,inan,accs,2.1,,"Отдохнув, осиливаем вторую лестницу, такую же отвесную и крутую, такую же неподатливую, с такими же крепко захватанными перилами, снова устаем до изнеможения и с радостью узнаем на второй площадке, что конец мучениям близок",1871,С. В. Максимов. Сибирь и каторга (1871),публицистика | нехудожественная,книга
anim,русские,pos,осилили,осилить,perf,past,plur,"их, варваров",NPRO,plur,inan,accs,1.1,,"И это движение началось сейчас же, как только восточные варвары ослабели, русские осилили их, могли вздохнуть поспокойнее, оглядеться и заметить сказанное различие между собою и поморскими народами, ибо великий исторический народ пребывать в застое не может, а если древняя Россия нам представляется в застое, то это застой относительный, это только медленность движения в известных сферах вследствие могущественных препятствий, встречаемых народом",1871,С. М. Соловьев. Петровские чтения (1871),публицистика | нехудожественная,книга
anim,мы,pos,осилили,осилить,perf,past,plur,перевал,NOUN,sing,inan,accs,2.1,,"Со стороны обеих больших дорог доступ в эту сердцевину горного Крыма нетруден; но с горного берега в нее можно проникнуть только через несколько «богазов», перевалов, подобных тому, который мы теперь осилили с таким трудом",1872,Е. Л. Марков. Очерки Крыма (1872),публицистика | нехудожественная,книга
inan,страх,pos,осилит,осилить,perf,futr,sing,тебя,NPRO,sing,inan,accs,1.2,,"Коли не будешь бояться, то никакой страх тебя не возьмет, а коли убоишься, то страх тут как тут, и накроет, и осенит, и осилит",1872,Н. П. Вагнер. Сказки Кота-Мурлыки (1872),художественная,книга
inan,орды дикарей,neg,осиливали,осиливать,impf,past,plur,твердынь,NOUN,plur,inan,gent,1.1,,"Орды дикарей, разрушавшие сильные царства, не осиливали этих твердынь цивилизации, защищенных духом свободы и изобретениями просветленного ума",1872,Е. Л. Марков. Очерки Крыма (1872),публицистика | нехудожественная,книга
anim,я,pos,осилил,осилить,perf,past,sing,соблазны,NOUN,plur,inan,accs,1.2,,"Да-с, я соблазны большого беса осилил, но, доложу вам, -- хоть это против правила, -- а мне мелких бесенят пакости больше этого надокучили",1873,Н. С. Лесков. Очарованный странник (1873),художественная,книга
anim,мы,neg,осилили,осилить,perf,past,plur,половину,NOUN,sing,inan,accs,2.1,,"Хорошо сдобную булку съесть, немудрено сжевать и проглотить наслащенную сахаром, но до булочки еще далеко, мы и половину дороги не осилили",1873,С. В. Максимов. Куль хлеба и его похождения (1873),публицистика | нехудожественная,книга
anim,бабы,pos,осиливают,осиливать,impf,pres,plur,мужиков,NOUN,plur,anim,accs,1.2,,"Те отбивались, отшучивались, однако же бабы пересилили, во всех делах, где задет бабий интерес, бабы всегда осиливают мужиков, и тот, кто заводит какое-нибудь новое дело, чтобы иметь успех, должен прежде всего обратить внимание, насколько будут задеты бабьи интересы в этом деле, потому что вся сила в бабах, что и понятно для каждого, кто, зная положение бабы в деревне, примет во внимание, что 1) баба не платит податей и 2) что бабу нельзя пороть",1875,А. Н. Энгельгардт. Письма из деревни (1872-1887 гг.). Письмо пятое (1875),публицистика | нехудожественная,книга
